ID: 0; Nome: lezioni di musica; isRadice: true; tipo dei figli: non foglie; Tipo: tipo; dominio-descrizione-id figlio associato: (teoria - si studia - 1)(pratica - si suona - 2)
ID: 1; Nome: lezioni di teoria musicale; isRadice: false; tipo dei figli: foglie; Tipo: argomento; dominio-descrizione-id figlio associato: (solfeggio - si solfeggia - 0)(storia della musica - si studia la storia - 1)
ID: 2; Nome: lezioni pratiche; isRadice: false; tipo dei figli: non foglie; Tipo: strumento; dominio-descrizione-id figlio associato: (chitarra - si suona la chitarra - 3)(pianoforte - si suona il pianoforte - 4)
ID: 3; Nome: lezioni di chitarra; isRadice: false; tipo dei figli: foglie; Tipo: livello; dominio-descrizione-id figlio associato: (principiante - lezioni introduttive - 2)
ID: 4; Nome: lezioni di pianoforte; isRadice: false; tipo dei figli: foglie; Tipo: livello; dominio-descrizione-id figlio associato: (principiante - lezioni introduttive - 3)(intermedio - seguire prima le lezioni introduttive - 4)
ID: 5; Nome: attività in palestra; isRadice: true; tipo dei figli: foglie; Tipo: tipo; dominio-descrizione-id figlio associato: (pesi - si sollevano pesi - 5)(pilates - si fa pilates - 6)(yoga - si fa yoga - 7)(pugilato - si fa pugilato - 8)
ID: 6; Nome: ripetizioni per scuola superiore; isRadice: true; tipo dei figli: non foglie; Tipo: materia; dominio-descrizione-id figlio associato: (matematica - si fanno calcoli - 7)(inglese - english is spoken - 8)(informatica - si usa il pc - 9)
ID: 7; Nome: matematica; isRadice: false; tipo dei figli: foglie; Tipo: livello; dominio-descrizione-id figlio associato: (biennio - matematica di base - 9)(triennio - matematica avanzata - 10)
ID: 8; Nome: inglese; isRadice: false; tipo dei figli: foglie; Tipo: livello; dominio-descrizione-id figlio associato: (b1 - inglese livello b1 - 11)(b2 - ingelse livello b2 - 12)
ID: 9; Nome: informatica; isRadice: false; tipo dei figli: foglie; Tipo: livello; dominio-descrizione-id figlio associato: (base - introduzione all'informatica - 13)
ID: 11; Nome: ripetizioni per scuola media; isRadice: true; tipo dei figli: foglie; Tipo: materia; dominio-descrizione-id figlio associato: (italiano - ripetizioni per la materia italiano - 14)(matematica - ripetizioni per la materia matematica - 15)
